Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Grit,Flow,Total Strokes,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
cycling,2019-05-26 06:23:40,false,"Bang Phli Cycling","93.82","1,261","03:08:47","138","168","29.8","47.3","11","14","0.00","0.0","0.0","81","167","126","47% L / 53% R","123.7","153","111","616","0.0","0.0","15094","0:00","26.0","0:00","No","00:00.00","1","0.0"
cycling,2019-05-25 06:20:34,false,"Mueang Pathum Thani Cycling","86.46","1,383","03:07:56","144","168","27.6","42.2","45","47","0.00","0.0","0.0","83","174","139","45% L / 55% R","151.2","151","123","521","0.0","0.0","13994","0:00","24.0","0:00","No","00:00.00","1","0.0"
cycling,2019-05-22 17:44:44,false,"Bang Phli Cycling","46.92","797","01:26:13","145","172","32.7","55.8","10","19","0.00","0.0","0.0","89","175","172","43% L / 57% R","105.9","187","154","743","0.0","0.0","7667","0:00","24.0","0:00","No","00:06.07","3","0.0"
cycling,2019-05-21 18:08:21,false,"Bang Phli Cycling","70.63","1,121","02:18:32","140","171","30.6","53.4","13","16","0.00","0.0","0.0","84","172","163","45% L / 55% R","152.5","170","135","711","0.0","0.0","11411","0:00","28.0","0:00","No","00:00.00","1","0.0"
cycling,2019-05-20 06:22:14,false,"Bang Phli Cycling","100.14","1,466","03:12:01","144","171","31.3","53.1","13","18","0.00","0.0","0.0","83","219","145","46% L / 54% R","168.1","170","127","693","0.0","0.0","15691","0:00","26.0","0:00","No","16:55.97","3","0.0"
cycling,2019-05-18 07:00:28,false,"Khlong Luang Cycling","129.96","1,726","04:36:02","143","173","28.2","45.2","219","174","0.00","0.0","0.0","80","245","126","47% L / 53% R","182.6","138","104","774","0.0","0.0","19442","0:00","26.0","0:00","No","00:00.00","1","0.0"
cycling,2019-05-16 18:05:43,false,"Bang Phli Cycling","70.34","910","02:10:38","130","176","32.3","51.1","8","10","0.00","0.0","0.0","81","182","138","44% L / 56% R","103.5","168","116","760","0.0","0.0","10309","0:00","26.0","0:00","No","00:00.00","1","0.0"
cycling,2019-05-15 17:35:55,false,"Bang Phli Cycling","70.31","1,076","02:05:07","150","181","33.7","49.4","7","11","0.00","0.0","0.0","85","150","163","44% L / 56% R","137.5","169","143","622","0.0","0.0","10535","0:00","26.0","0:00","No","00:00.00","1","0.0"
cycling,2019-05-14 17:53:08,false,"Bang Phli Cycling","23.40","417","00:46:57","138","171","29.9","42.0","1","13","0.00","0.0","0.0","87","165","178","43% L / 57% R","61.1","187","148","326","0.0","0.0","4060","0:00","20.0","0:00","No","23:27.67","2","0.0"
cycling,2019-05-11 06:23:12,false,"Bang Phli Cycling","93.95","1,272","02:44:16","146","178","34.3","46.0","8","11","0.00","0.0","0.0","79","172","146","45% L / 55% R","146.1","162","129","627","0.0","0.0","12878","0:00","25.0","0:00","No","00:00.80","3","0.0"
cycling,2019-05-09 18:10:24,false,"Bang Phli Cycling","46.87","683","01:21:08","144","172","34.7","59.0","7","11","0.00","0.0","0.0","88","127","170","45% L / 55% R","96.9","157","140","766","0.0","0.0","7111","0:00","28.0","0:00","No","39:00.93","2","0.0"
cycling,2019-05-08 18:12:24,false,"Bang Phli Cycling","70.33","1,019","02:01:26","149","177","34.8","58.2","8","15","0.00","0.0","0.0","85","141","169","45% L / 55% R","143.2","164","140","697","0.0","0.0","10377","0:00","28.0","0:00","No","39:08.43","3","0.0"
cycling,2019-05-05 06:49:55,false,"Bang Phli Cycling","70.41","813","02:06:49","131","160","33.3","55.1","5","9","0.00","0.0","0.0","77","176","133","47% L / 53% R","92.5","139","107","716","0.0","0.0","9751","0:00","27.0","0:00","No","00:00.00","1","0.0"
cycling,2019-05-04 17:55:55,false,"Bang Phli Cycling","46.89","825","01:35:01","148","172","29.6","53.8","3","12","0.00","0.0","0.0","87","165","160","44% L / 56% R","100.7","165","145","637","0.0","0.0","8172","0:00","28.0","0:00","No","46:39.40","2","0.0"
cycling,2019-05-04 06:54:53,false,"Bang Phli Cycling","46.86","656","01:39:15","130","160","28.3","34.8","2","4","0.00","0.0","0.0","76","157","115","46% L / 54% R","54.5","131","110","310","0.0","0.0","7529","0:00","29.0","0:00","No","00:01.02","2","0.0"
cycling,2019-05-02 18:18:07,false,"Bang Phli Cycling","46.82","720","01:34:27","140","174","29.7","45.6","2","5","0.00","0.0","0.0","81","157","149","44% L / 56% R","87.4","167","127","705","0.0","0.0","7556","0:00","28.0","0:00","No","00:00.00","1","0.0"
cycling,2019-04-30 18:22:11,false,"Bang Phli Cycling","47.23","737","01:32:28","141","175","30.6","60.7","12","21","0.00","0.0","0.0","84","129","164","44% L / 56% R","102.5","179","133","660","0.0","0.0","7665","0:00","28.0","0:00","No","00:00.00","1","0.0"
cycling,2019-04-28 18:33:21,false,"Bang Phli Cycling","46.83","618","01:49:39","109","150","25.6","32.2","2","5","0.00","0.0","0.0","75","156","101","43% L / 57% R","46.4","120","94","352","0.0","0.0","8072","0:00","27.0","0:00","No","00:01.00","3","0.0"
cycling,2019-04-27 16:02:17,false,"Mueang Pathum Thani Cycling","200.85","2,599","07:02:44","148","188","28.5","47.7","111","135","0.00","0.0","0.0","77","183","126","47% L / 53% R","279.0","154","103","678","0.0","0.0","28036","0:00","27.0","0:00","No","00:00.00","1","0.0"
cycling,2019-04-25 17:15:45,false,"Bang Phli Cycling","46.93","630","01:26:09","133","162","32.7","45.5","10","14","0.00","0.0","0.0","84","163","139","46% L / 54% R","68.8","144","122","619","0.0","0.0","7238","0:00","29.0","0:00","No","00:01.97","3","0.0"
